Timestamp,Participation_motives,Ehsan_features,Influencer_role,Campaign_Features,Campaign_type,Num_Contribution,Preferred_time,feedback,Notes,Gender
11/8/2023 9:59:06,Sympathy and helping someone in need.,"A variety of campaign categories., Multiple Secure payment options.",3,I choose random campaign every time.,"Debt and overdue bills., Projects., Disaster Relief.",Frequently (more than once a month),Any time I remember to donate.,No,Null,Male
11/8/2023 10:07:14,"Post or support from a social media influencer., Sympathy and helping someone in need., Feeling a sense of community and connection., Belief in the power of collective contributions., Personal satisfaction and altruism., Social influence and reputation.","Easy-to-use website and mobile app., Multiple Secure payment options., Fast payment option.",4,"Beneficiary's age, gender, marital status and number of kids., Campaign Goal amount and the percentage of current collected Amount., A detailed text discription of the campaign.","Prisoners' Relief., Debt and overdue bills., Projects., Disaster Relief., Orphan sponsorship.",Frequently (more than once a month),"On the month of Ramadan, On the days of Hajj, On the day of Arafat",Nothing ,Null,Male
11/8/2023 10:54:06,"Post or support from a social media influencer., Personal satisfaction and altruism.","Trustworthy and credible campaigns., Fast payment option.",4,"Beneficiary's age, gender, marital status and number of kids., A detailed text discription of the campaign.",Disaster Relief.,Occasionally (a few times a year),"On the month of Ramadan, On the day of Arafat",No,Null,Female
11/8/2023 11:15:21,Personal satisfaction and altruism.,Trustworthy and credible campaigns.,3,A detailed text discription of the campaign.,"Prisoners' Relief., Debt and overdue bills.",Occasionally (a few times a year),"On the month of Ramadan, On the day of Arafat",no,Null,Male
11/8/2023 12:03:13,"Sympathy and helping someone in need., Feeling a sense of community and connection.","Trustworthy and credible campaigns., Multiple Secure payment options.",5,A detailed text discription of the campaign.,"Prisoners' Relief., Debt and overdue bills., Projects., Disaster Relief., Orphan sponsorship.",Occasionally (a few times a year),Anytime. No specific ,Good job,Best wishes ,Female
11/8/2023 19:32:18,"Post or support from a social media influencer., Belief in the power of collective contributions.","Easy-to-use website and mobile app., Trustworthy and credible campaigns.",4,"Beneficiary's age, gender, marital status and number of kids.","Debt and overdue bills., Projects.",Occasionally (a few times a year),On Fridays,no,Null,Female
11/9/2023 7:18:48,Sympathy and helping someone in need.,"Trustworthy and credible campaigns., Multiple Secure payment options.",3,"Beneficiary's age, gender, marital status and number of kids., A detailed text discription of the campaign.","Prisoners' Relief., Debt and overdue bills.",Occasionally (a few times a year),"On the month of Ramadan, On the day of Arafat",No,Null,Male
11/9/2023 8:34:28,"Feeling a sense of community and connection., Personal satisfaction and altruism.",Trustworthy and credible campaigns.,4,A detailed text discription of the campaign.,Orphan sponsorship.,Occasionally (a few times a year),"On the month of Ramadan, On the day of Arafat",I prefer they add the date of posting the campaign.,Null,Female
11/9/2023 9:25:55,Sympathy and helping someone in need.,"Easy-to-use website and mobile app., Trustworthy and credible campaigns., A variety of campaign categories., Multiple Secure payment options., Fast payment option.",3,"Beneficiary's age, gender, marital status and number of kids.","Debt and overdue bills., Disaster Relief.",Frequently (more than once a month),"On the month of Ramadan, On the day of Arafat, Fridays",There isn't any,Null,Female
11/9/2023 14:46:51,"Post or support from a social media influencer., Personal satisfaction and altruism.","Easy-to-use website and mobile app., Trustworthy and credible campaigns., Multiple Secure payment options.",4,"Beneficiary's age, gender, marital status and number of kids.",Debt and overdue bills.,Occasionally (a few times a year),"On the month of Ramadan, On the days of Hajj, ",No,Null,Female
11/9/2023 19:34:51,Sympathy and helping someone in need.,"Easy-to-use website and mobile app., Trustworthy and credible campaigns.",3,"Beneficiary's age, gender, marital status and number of kids., A detailed text discription of the campaign.",Disaster Relief.,Frequently (more than once a month),"On the month of Ramadan, On Thursdays",No,Null,Male
11/9/2023 22:18:18,"Post or support from a social media influencer., Belief in the power of collective contributions.",Trustworthy and credible campaigns.,4,"Beneficiary's age, gender, marital status and number of kids., A detailed text discription of the campaign.",Orphan sponsorship.,Frequently (more than once a month),"On the month of Ramadan, On the days of Hajj",no,Null,Female
11/10/2023 0:13:16,"Sympathy and helping someone in need., Personal satisfaction and altruism.",Multiple Secure payment options.,3,"Beneficiary's age, gender, marital status and number of kids.",Prisoners' Relief.,Occasionally (a few times a year),On the month of Ramadan,No,Null,Female
11/10/2023 7:24:56,Sympathy and helping someone in need.,"Easy-to-use website and mobile app., Trustworthy and credible campaigns.",3,"Beneficiary's age, gender, marital status and number of kids., A detailed text discription of the campaign.","Prisoners' Relief., Debt and overdue bills.",Occasionally (a few times a year),On the month of Ramadan,No,Null,Male
11/10/2023 8:19:10,"Post or support from a social media influencer., Social influence and reputation.","Easy-to-use website and mobile app., Trustworthy and credible campaigns., Multiple Secure payment options.",5,A detailed text discription of the campaign.,"Prisoners' Relief., Debt and overdue bills.",Occasionally (a few times a year),"On the month of Ramadan, On the day of Arafat",No,Null,Female
11/10/2023 10:10,"Sympathy and helping someone in need., Personal satisfaction and altruism.","Trustworthy and credible campaigns., Donation through SMS option.",4,A detailed text discription of the campaign.,"Prisoners' Relief., Projects.",Occasionally (a few times a year),"On the month of Ramadan, On the days of Hajj",No,Null,Female
11/10/2023 10:19,"Post or support from a social media influencer., Sympathy and helping someone in need.","Easy-to-use website and mobile app., Trustworthy and credible campaigns., Multiple Secure payment options.",4,A detailed text discription of the campaign.,"Prisoners' Relief., Debt and overdue bills.",Occasionally (a few times a year),"On the month of Ramadan, On the day of Arafat",no thank you.,Null,Female
